Flight Number,Launch Date,Launch Time,Launch Site,Vehicle Type,Payload Name,Payload Type,Payload Mass (kg),Payload Orbit,Customer Name,Customer Type,Customer Country,Mission Outcome,Failure Reason,Landing Type,Landing Outcome
F1-2,21-Mar-07,01:10,Marshall Islands,Falcon 1,DemoSat, , 0.00 kg, ,Name: DARPA, Type: Government, Country: United States,Failure,Engine Shutdown During Launch,,
F1-1,24-Mar-06,22:30,Marshall Islands,Falcon 1,FalconSAT-2, Research Satellite, 19.50 kg, ,Name: DARPA, Type: Government, Country: United States,Failure,Engine Fire During Launch,,
